Tipo,X,Y,Z
Suelo,11.012365,-2.4183282e-06,19.828775
Suelo,32.420475,-9.059295e-08,66.56811
Suelo,15.614525,6.052687e-07,-45.68211
Suelo,-83.43474,-2.0479563e-06,39.50832
Suelo,-15.521953,-1.5658275e-06,-55.549217
Suelo,-95.68064,-4.871795e-07,41.71428
Suelo,-70.150566,-9.301441e-07,-4.2156725
Suelo,-74.14851,6.704638e-07,-8.889679
Suelo,33.728268,-1.4112584e-07,49.479782
Suelo,42.656914,-9.2225946e-07,10.443776
Suelo,-54.144432,2.8013596e-06,-80.84296
Suelo,43.162415,2.522845e-06,89.58137
Suelo,55.342136,-8.977687e-07,-27.024492
Suelo,77.46694,2.0902621e-06,-21.584736
Suelo,-71.00951,3.892739e-06,18.357784
Suelo,45.88388,-8.250172e-07,88.79042
Suelo,30.072361,-2.2202312e-06,-34.89412
Suelo,-33.74941,-6.157463e-06,65.89661
Suelo,-6.0016756,7.222834e-07,-93.30834
Suelo,73.776436,-2.0223233e-06,57.385796
Suelo,-85.335144,-5.197189e-07,-24.492725
Suelo,84.76587,-9.658938e-07,-67.357
Suelo,-6.9584875,-1.4262002e-06,-82.01959
Suelo,82.080345,-9.949263e-07,-6.2986646
Suelo,-54.97399,2.975728e-07,-8.534562
Suelo,-71.07162,-5.008626e-07,14.0073
Suelo,-6.03558,-4.3017099e-07,-65.11174
Suelo,28.809862,1.2748587e-06,-7.5358977
Suelo,-78.15694,7.1682734e-07,-52.859642
Suelo,-62.106693,5.963657e-07,69.245926
Suelo,39.756706,7.289e-07,60.693325
Suelo,-54.64468,4.6421046e-06,45.819836
Suelo,-9.675122,1.0519052e-06,-67.93016
Suelo,-96.38171,9.04927e-07,-38.56932
Suelo,-32.617115,-1.01147e-06,87.20988
Suelo,4.41163,1.2300306e-06,-89.02668
Suelo,22.729254,2.6951052e-06,-79.13089
Suelo,-54.173588,2.3653483e-06,14.694401
Suelo,7.278245,-3.5864127e-07,28.908892
Suelo,-74.474236,2.1375745e-06,95.93351
Suelo,11.658318,6.504638e-07,-34.811764
Suelo,61.73466,1.4619427e-06,81.9241
Suelo,15.492555,-2.8081377e-07,-53.03556
Suelo,40.81789,-3.0704855e-06,70.18739
Suelo,28.902258,1.2687242e-06,42.869312
Suelo,62.111225,5.155466e-07,61.648174
Suelo,-30.399149,-3.332998e-07,67.21134
Suelo,40.848995,1.6539348e-06,-94.1032
Suelo,61.19689,5.8783735e-07,28.053587
Suelo,-75.93463,-1.1120271e-06,-41.327675
Suelo,89.15434,-1.8264566e-06,59.46628
Suelo,-76.29754,2.3213313e-06,47.94488
Suelo,76.056244,-2.8598092e-06,-28.8009
Suelo,-12.019494,-5.300358e-07,86.50989
Suelo,9.297503,-4.1585804e-07,-62.786674
Suelo,-60.088593,-1.2195715e-06,86.7379
Suelo,71.4534,-3.9930296e-07,-59.06968
Suelo,-89.10996,2.246045e-06,36.51664
Suelo,-27.423397,-1.32266e-06,87.78711
Suelo,13.992889,-3.3316883e-07,-54.42839
Suelo,14.6567,-5.846032e-07,-15.386436
Suelo,23.867517,1.8352162e-06,2.8848197
Suelo,8.186518,2.0452003e-06,-88.11483
Suelo,-91.970245,3.8769713e-06,79.65698
Suelo,81.52378,8.0576456e-07,85.15181
Suelo,-12.639455,1.7389539e-08,43.83392
Suelo,-74.676704,-1.5745256e-06,-52.754753
Suelo,0.6599444,-2.0713355e-07,35.50961
Suelo,17.733019,3.035584e-07,-21.219547
Suelo,-71.58859,-1.0464573e-06,-30.700233
Suelo,-39.95124,-1.5680143e-08,-0.3553502
Suelo,-9.386382,9.789319e-07,-0.27337703
Suelo,32.964878,-2.266127e-06,-79.29449
Suelo,-58.02308,1.2997959e-06,28.545723
Suelo,-74.62009,-3.1050877e-07,-19.088326
Suelo,43.073933,-2.9022658e-07,-61.706238
Suelo,79.503624,-3.032158e-06,-37.417194
Suelo,26.651917,-1.00770194e-07,-1.2382321
Suelo,-92.23083,-4.7665708e-07,-74.24253
Suelo,-73.52533,2.837337e-07,-18.517008
Suelo,-94.0727,-2.5697373e-06,22.804047
Suelo,-55.999664,4.0385844e-06,92.377716
Suelo,-5.143672,-1.0892641e-06,33.1308
Suelo,-95.27918,1.3911131e-07,69.61771
Suelo,31.7854,1.4195857e-06,50.15458
Suelo,39.866386,1.909546e-06,-54.136436
Suelo,54.239548,2.5888166e-06,90.33932
Suelo,-1.9976228,9.9577e-07,-65.42504
Suelo,-95.53026,2.0542625e-06,-67.90925
Suelo,51.30221,-2.0375467e-06,61.852245
Suelo,-30.602936,1.188841e-06,-87.40556
Suelo,-70.918945,1.3398853e-06,89.35933
Suelo,-25.129456,8.20246e-07,82.6156
Suelo,4.49398,3.24007e-06,-14.461054
Suelo,-68.85635,-1.0167571e-06,-74.57903
Suelo,-94.544075,1.617152e-07,56.004982
Suelo,78.41411,5.297706e-06,-88.04012
Suelo,-92.96047,2.2812783e-06,88.48984
Suelo,38.933136,2.0676366e-06,10.124942
Suelo,-95.044624,3.953469e-07,-47.865696
Suelo,-50.378918,1.4948964e-06,-9.391028
Suelo,-67.89985,6.5132576e-07,-24.215576
Suelo,-6.08757,-1.5844503e-06,97.36529
Suelo,-54.619713,1.7029297e-06,64.23874
Suelo,-1.8555156,2.2786999e-06,83.52329
Suelo,-62.378918,8.640309e-07,40.42283
Suelo,-73.48954,-2.6535604e-06,-35.26231
Suelo,-28.990795,1.4435002e-06,-81.589035
Suelo,-5.4126925,-9.4298684e-08,67.103966
Suelo,-15.264573,2.3835207e-07,85.602905
Suelo,-61.095074,-2.1376961e-06,63.26235
Suelo,46.59788,1.0081976e-07,74.10275
Suelo,-49.036083,1.4244392e-06,16.141602
Suelo,21.95569,1.3234999e-06,71.89318
Suelo,-91.76561,1.93181e-07,38.161873
Suelo,28.206045,1.6874551e-06,1.2584913
Suelo,15.852342,-1.4851321e-06,-26.980337
Suelo,74.444595,-2.3898886e-06,-11.209742
Suelo,-7.0934563,-7.6423385e-07,24.155565
Suelo,-6.983142,-4.077506e-06,37.48269
Suelo,-46.17966,-2.6120847e-07,14.6917925
Suelo,-1.1711843,1.4874067e-06,-10.838637
Suelo,-32.10721,-2.759482e-06,98.46066
Suelo,-81.05698,3.5949301e-07,11.750896
Suelo,26.690182,-2.190472e-06,48.692825
Suelo,-56.431313,8.24366e-08,36.687458
Suelo,-54.02073,1.2988123e-06,-68.41768
Suelo,13.678541,1.5339283e-06,-43.78974
Suelo,-17.366697,3.0579895e-07,60.908123
Suelo,46.42135,-3.6048514e-06,46.37469
Suelo,-9.111375,-8.170979e-07,-78.04557
Suelo,43.595535,9.4683037e-07,-96.117744
Suelo,36.778534,-2.3942712e-06,-91.80344
Suelo,-51.912136,1.9372496e-06,72.28816
Suelo,36.747673,-8.0088193e-07,71.80871
Suelo,-12.3420105,1.0357771e-06,-93.370346
Suelo,2.672267,-1.9236227e-06,-74.42887
Suelo,-32.467274,1.3551421e-06,-31.418451
Suelo,-47.40567,1.3901683e-06,27.62154
Suelo,-24.482855,-7.8364224e-07,-60.250935
Suelo,36.61575,-4.801557e-07,-23.641603
Suelo,29.417566,-1.9753888e-06,24.514496
Suelo,-76.26775,-1.4090078e-06,-26.129086
Suelo,-89.26133,2.9223067e-06,-33.60847
Suelo,-66.52772,-1.7976515e-06,-32.718746
Suelo,-5.763536,1.8409241e-06,40.418888
Suelo,-92.80763,2.1234218e-06,-25.41844
Suelo,-87.384735,2.8785962e-07,-2.8941848
Suelo,-74.34615,1.4169245e-07,40.24419
Suelo,-4.3325005,2.1245132e-06,-75.99627
Suelo,-3.8065345,-1.09347184e-07,13.144329
Suelo,-57.032207,1.3228178e-06,69.11059
Suelo,-80.45191,-5.0680683e-08,-76.44944
Suelo,0.49595666,-3.2096978e-07,66.64444
Suelo,12.492939,-6.7582323e-07,-29.623564
Suelo,70.09632,9.800503e-07,-19.258688
Suelo,-74.23898,7.931287e-07,82.73462
Suelo,-71.38172,-2.5293848e-06,-85.8543
Suelo,-62.40353,1.3156023e-07,-84.218506
Suelo,41.43594,-1.406399e-06,-83.83182
Suelo,-84.16724,9.848068e-07,-77.75153
Suelo,-66.14309,1.1551674e-07,-19.903648
Suelo,-85.4172,-1.7212751e-06,97.312294
Suelo,64.182076,8.835641e-07,60.801147
Suelo,-6.70452,-2.004643e-06,-60.812992
Suelo,-7.378024,-1.3749436e-06,-23.169884
Suelo,-67.23921,-1.9173103e-07,44.174747
Suelo,5.0637627,-4.4946955e-07,-20.894508
Suelo,48.79917,2.133473e-06,-39.26614
Suelo,34.3629,7.656415e-07,-69.341
Suelo,45.115437,-1.4092989e-06,-23.671133
Suelo,16.278488,2.2415647e-06,-31.032057
Suelo,16.422403,6.072089e-07,37.512062
Suelo,-18.184477,1.2581227e-06,93.50826
Suelo,-67.34146,-3.5920875e-06,-47.78969
Suelo,-1.881668,8.850045e-07,21.499302
Suelo,25.31015,-7.103954e-07,-2.7644436
Suelo,10.567174,-8.937195e-07,-2.074455
Suelo,18.333227,7.19554e-07,50.539803
Suelo,-68.65297,-5.5336227e-07,-61.757122
Suelo,-40.421497,-1.6925228e-06,-5.141453
Suelo,19.281818,4.982855e-06,91.13522
Suelo,-66.51588,-1.3738781e-06,-46.37003
Suelo,-36.021137,2.4865676e-07,-66.50775
Suelo,0.9659458,-1.1468574e-06,56.780144
Suelo,27.235888,1.0936669e-06,-21.837587
Suelo,-15.289099,9.4610186e-07,2.9656315
Suelo,-15.478219,1.0325848e-06,62.432564
Suelo,-53.54713,3.5121084e-06,89.19228
Suelo,-42.820137,3.004377e-07,-12.050503
Suelo,4.0882597,2.909684e-06,-6.1402335
Suelo,4.8087387,-4.7894446e-08,-12.1845255
Suelo,20.836306,-1.7344773e-06,0.4689743
Suelo,-87.7787,2.3974037e-06,18.613405
Suelo,-46.887604,-1.1468642e-06,-53.093353
Suelo,-58.553814,-7.345125e-08,78.818085
Suelo,57.07865,-1.5476128e-06,80.6615
Suelo,-33.50865,2.7934602e-06,-46.28318
Suelo,4.082372,1.1640964e-07,-45.52325
Suelo,26.989578,2.1791038e-07,-36.673107
Suelo,-88.933075,4.1707904e-07,88.04978
Suelo,-16.003,-1.2362357e-06,65.095215
Suelo,-59.794483,2.2365741e-06,-20.217398
Suelo,-81.63831,-2.0193106e-06,-91.536835
Suelo,-32.859398,-1.1379489e-06,85.54567
Suelo,42.842815,1.378135e-06,44.060097
Suelo,-61.273693,-2.3501516e-06,-26.227043
Suelo,-47.56332,2.4415497e-06,-6.8378563
Suelo,77.4898,2.7549274e-06,-66.70752
Suelo,-63.90622,-1.8494693e-06,-57.486095
Suelo,-89.78647,8.41231e-07,20.53701
Suelo,37.512463,6.027667e-07,53.278484
Suelo,-6.0442386,-3.2513883e-06,-15.320998
Suelo,-10.734287,1.7246675e-06,23.289877
Suelo,-1.5626435,-9.17124e-07,-92.915344
Suelo,72.30313,1.111225e-06,68.58577
Suelo,-1.7970392,-7.463541e-07,48.12502
Suelo,-71.826706,2.5023107e-06,-44.257282
Suelo,-94.37511,8.9709613e-07,20.527548
Suelo,-52.6414,1.6888891e-06,19.45525
Suelo,13.324293,1.3712142e-06,-55.841843
Suelo,-52.93395,2.6677544e-06,62.084503
Suelo,-5.518847,2.9877556e-06,-87.78967
Suelo,-86.014336,8.123841e-07,21.707628
Suelo,-93.73805,8.1887083e-07,-4.8121867
Suelo,-51.741062,4.5625052e-07,60.23417
Suelo,-38.71141,-4.5099814e-06,80.29094
Suelo,-11.554295,-7.338631e-07,19.800047
Suelo,-58.227196,-2.5906934e-06,33.441113
Suelo,-35.1959,6.0619186e-07,-82.600945
Suelo,-14.716955,5.4387556e-07,-2.9955084
Suelo,29.23137,1.5566723e-06,5.0633817
Suelo,48.91962,-3.91482e-07,12.342308
Suelo,-95.35232,-2.5104473e-06,-30.959274
Suelo,3.3320632,7.381095e-08,-0.63572294
Suelo,-94.579956,2.180058e-06,88.381966
Suelo,11.589703,-1.4553466e-06,-36.056683
Suelo,-50.193672,-2.7552114e-06,28.101635
Suelo,-60.55453,-9.29816e-07,5.7520833
Suelo,4.3292365,-1.650556e-06,77.63333
Suelo,-73.5905,9.946255e-07,-14.866904
Suelo,-48.532158,3.5033372e-07,36.87311
Suelo,-8.368495,-3.1047591e-06,-36.18696
Suelo,-52.985798,-1.384095e-06,57.92924
Suelo,-83.57504,-2.9116497e-06,-39.16324
Suelo,-9.662118,1.6943541e-06,-61.03682
Suelo,-60.263546,1.1684647e-06,-92.11308
Suelo,6.4162107,-1.5042797e-06,-81.80434
Suelo,59.740356,-4.6232344e-08,76.51936
Suelo,50.121998,8.7375884e-07,4.654994
Suelo,1.53646,3.0895549e-06,73.547806
Suelo,19.063583,3.3946344e-06,22.373516
Suelo,35.98847,8.9451214e-07,23.93078
Suelo,-18.66643,2.74591e-06,70.98365
Suelo,30.624132,-1.6861809e-06,59.837044
Suelo,-3.6070476,-1.1572006e-06,-24.657772
Suelo,48.07699,6.727578e-07,-19.736477
Suelo,38.97781,3.8419057e-07,94.857765
Suelo,-9.787199,-1.0227108e-06,79.30548
Suelo,16.92607,3.1170875e-06,36.18756
Suelo,16.967772,-5.167726e-07,-70.0608
Suelo,-82.75393,-1.7179386e-06,8.031309
Suelo,-42.747784,-1.0425179e-06,94.082375
Suelo,1.5113728,1.1254947e-06,-26.389427
Suelo,4.728629,1.9398506e-06,74.67543
Suelo,-13.642436,1.2677922e-06,-41.18383
Suelo,32.99351,1.0534104e-06,82.24259
Suelo,-58.737286,2.105312e-06,-74.40422
Suelo,-9.949794,3.612049e-07,16.63147
Suelo,55.22896,1.7072939e-06,63.95654
Suelo,-18.008968,7.088056e-07,34.66866
Suelo,34.686035,-3.1737673e-06,-51.131336
Suelo,0.25088644,-3.7004409e-06,-43.278675
Suelo,-3.002547,1.5423202e-06,-74.68246
Suelo,-84.96827,-1.7648908e-06,-71.2406
Suelo,-96.94952,6.340151e-07,-54.49839
Suelo,14.426932,1.795954e-06,49.973778
Suelo,-39.93397,-1.580338e-06,62.851665
Suelo,74.80412,1.5311025e-06,74.405266
Suelo,-2.2975838,9.5093424e-07,39.666397
Suelo,-54.270527,-1.1059217e-06,26.276386
Suelo,-11.356394,-2.8088607e-08,51.961052
Suelo,10.573168,2.3935736e-06,36.16016
Suelo,18.813707,1.2330279e-06,-42.495647
Suelo,27.003416,2.1101807e-06,-55.338688
Suelo,-14.850439,-9.765147e-07,32.942368
Suelo,-23.805382,1.3802646e-06,94.56773
Suelo,-60.65339,2.4260946e-06,41.80429
Suelo,-54.224884,-1.7701086e-07,22.132668
Suelo,9.718105,-1.6623685e-06,14.110492
Suelo,95.556625,6.459595e-07,-83.33527
Suelo,24.280748,-1.435933e-07,-48.72431
Suelo,42.48552,-9.4786833e-07,71.02757
Suelo,83.975586,-3.8620374e-07,-74.83856
Suelo,47.610275,-2.2975364e-06,15.776454
Suelo,-65.20308,-2.8002096e-06,73.3378
Suelo,-50.243275,-1.9188465e-06,33.220707
Suelo,-52.456856,-2.8628617e-06,-14.598588
Suelo,53.172768,1.995885e-06,-6.715432
Suelo,-61.71309,1.4849593e-07,3.1521032
